Localidade;IPDM_EmpRenda;Renda_PC;IPDM_Saude;IDHM_Long;IDHM_Educ
Quinta do Sol;0,4189;579,17;0,8071;0,842;0,631
Quitandinha;0,3766;438,76;0,5713;0,806;0,603
Ramilândia;0,3452;410,45;0,6893;0,802;0,489
Rancho Alegre;0,3862;581,35;0,5425;0,808;0,633
Rancho Alegre D'Oeste;0,4289;521,59;1;0,831;0,625
Realeza;0,4223;695,40;0,838;0,83;0,63
Rebouças;0,4014;438,59;0,7148;0,814;0,576
Renascença;0,4038;830,82;0,7518;0,838;0,63
Reserva;0,4261;445,84;0,6437;0,786;0,461
Reserva do Iguaçu;0,3355;413,53;0,4921;0,82;0,521
Ribeirão Claro;0,4534;615,66;0,7603;0,832;0,627
Ribeirão do Pinhal;0,3473;558,01;0,5549;0,824;0,611
Rio Azul;0,4419;710,71;0,7523;0,819;0,544
Rio Bom;0,3617;512,45;0,8546;0,848;0,681
Rio Bonito do Iguaçu;0,3773;401,18;0,7779;0,792;0,498
Rio Branco do Ivaí;0,3345;379,12;0,7183;0,783;0,537
Rio Branco do Sul;0,4922;539,02;0,4632;0,847;0,545
Rio Negro;0,5282;701,42;0,4632;0,863;0,705
Rolândia;0,5963;792,29;0,7951;0,821;0,661
Roncador;0,3799;488,11;0,7232;0,797;0,595
Rondon;0,5979;718,28;0,6927;0,82;0,61
Rosário do Ivaí;0,313;412,60;0,5945;0,788;0,577
Sabáudia;0,5862;660,39;0,6557;0,843;0,676
Salgado Filho;0,3469;556,45;0,6879;0,831;0,604
Salto do Itararé;0,4014;488,65;0,7387;0,836;0,631
Salto do Lontra;0,3575;645,25;0,7057;0,839;0,625
Santa Amélia;0,3604;463,13;0,7623;0,809;0,526
Santa Cecília do Pavão;0,4225;544,87;0,4246;0,838;0,661
Santa Cruz de Monte Castelo;0,3973;551,56;0,7593;0,831;0,633
Santa Fé;0,4813;703,17;0,6202;0,808;0,601
Santa Helena;0,4736;785,08;0,7153;0,823;0,678
Santa Inês;0,351;525,44;0,8535;0,827;0,659
Santa Isabel do Ivaí;0,4157;603,07;0,8055;0,817;0,656
